1,Lou,120.000000,10000.000000
2,Ulrike,180.000000,25000.000000
3,Brade,325.000000,20000.000000
4,Kimbell,120.000000,50000.000000
5,Sheelagh,220.000000,18000.000000
6,Gayle,120.000000,30000.000000
7,Kimberlee,60.000000,33000.000000
8,Henrieta,90.000000,30000.000000
9,Jeanine,325.000000,18000.000000
10,Aggie,75.000000,15000.000000
11,Brandea,180.000000,15000.000000
12,Cordelie,325.000000,50000.000000
13,Shel,120.000000,50000.000000
14,Bronnie,60.000000,20000.000000
15,Megen,180.000000,10000.000000
16,Iver,90.000000,12000.000000
17,Ernesta,60.000000,37000.000000
18,Cirillo,88.000000,50000.000000
19,Park,120.000000,30000.000000
20,Bellanca,88.000000,15000.000000
21,Bobbye,180.000000,15000.000000
22,Eugene,88.000000,50000.000000
23,Johnny,325.000000,33000.000000
24,Reagen,90.000000,42000.000000
25,Braden,180.000000,25000.000000
26,Karim,75.000000,25000.000000
27,Anthea,90.000000,42000.000000
28,Doro,120.000000,33000.000000
29,Gaye,120.000000,37000.000000
30,Toby,180.000000,15000.000000
31,Franny,325.000000,15000.000000
32,Katey,180.000000,42000.000000
33,Earle,90.000000,10000.000000
34,Redd,88.000000,42000.000000
35,Jehanna,220.000000,50000.000000
36,Cristie,180.000000,10000.000000
37,Stefa,88.000000,42000.000000
38,Roda,90.000000,25000.000000
39,Alfredo,88.000000,10000.000000
40,Sydney,75.000000,10000.000000
41,Brnaba,180.000000,30000.000000
42,Ame,88.000000,50000.000000
43,Bradney,88.000000,25000.000000
44,Margarete,120.000000,50000.000000
45,Nikoletta,120.000000,50000.000000
46,Lonnard,75.000000,50000.000000
47,Raine,180.000000,30000.000000
48,Noella,120.000000,15000.000000
49,Dagmar,88.000000,25000.000000
50,Carroll,220.000000,42000.000000
51,Marion,88.000000,50000.000000
52,Carline,220.000000,12000.000000
53,Hyacinthie,75.000000,15000.000000
54,Julina,120.000000,33000.000000
55,Corina,220.000000,37000.000000
56,Bernardine,75.000000,33000.000000
57,Homer,180.000000,18000.000000
58,Lianna,220.000000,12000.000000
59,Celene,120.000000,50000.000000
60,Kori,90.000000,50000.000000
61,Deeyn,88.000000,20000.000000
62,Marysa,75.000000,20000.000000
63,Loy,120.000000,15000.000000
64,Gabbey,120.000000,37000.000000
65,Star,90.000000,33000.000000
66,Dominica,120.000000,33000.000000
67,Blanch,75.000000,15000.000000
68,Cristobal,120.000000,15000.000000
69,Paulita,120.000000,50000.000000
70,Sayre,180.000000,33000.000000
71,Shaughn,90.000000,15000.000000
72,Katrine,90.000000,25000.000000
73,Cristi,88.000000,42000.000000
74,Cristie,90.000000,25000.000000
75,Solomon,90.000000,10000.000000
76,Nananne,120.000000,33000.000000
